id_cp_interaction	interacting_pair	partner_a	partner_b	gene_a	gene_b	secreted	receptor_a	receptor_b	annotation_strategy	is_integrin	rank	microglia_1|microglia_1	microglia_1|microglia_2	microglia_1|microglia_3	microglia_1|microglia_4	microglia_1|microglia_5	microglia_1|microglia_6	microglia_1|microglia_8	microglia_1|microglia_9	microglia_1|oligos_7	microglia_1|opcs_2	microglia_1|opcs_9	microglia_2|microglia_1	microglia_2|microglia_2	microglia_2|microglia_3	microglia_2|microglia_4	microglia_2|microglia_5	microglia_2|microglia_6	microglia_2|microglia_8	microglia_2|microglia_9	microglia_2|oligos_7	microglia_2|opcs_2	microglia_2|opcs_9	microglia_3|microglia_1	microglia_3|microglia_2	microglia_3|microglia_3	microglia_3|microglia_4	microglia_3|microglia_5	microglia_3|microglia_6	microglia_3|microglia_8	microglia_3|microglia_9	microglia_3|oligos_7	microglia_3|opcs_2	microglia_3|opcs_9	microglia_4|microglia_1	microglia_4|microglia_2	microglia_4|microglia_3	microglia_4|microglia_4	microglia_4|microglia_5	microglia_4|microglia_6	microglia_4|microglia_8	microglia_4|microglia_9	microglia_4|oligos_7	microglia_4|opcs_2	microglia_4|opcs_9	microglia_5|microglia_1	microglia_5|microglia_2	microglia_5|microglia_3	microglia_5|microglia_4	microglia_5|microglia_5	microglia_5|microglia_6	microglia_5|microglia_8	microglia_5|microglia_9	microglia_5|oligos_7	microglia_5|opcs_2	microglia_5|opcs_9	microglia_6|microglia_1	microglia_6|microglia_2	microglia_6|microglia_3	microglia_6|microglia_4	microglia_6|microglia_5	microglia_6|microglia_6	microglia_6|microglia_8	microglia_6|microglia_9	microglia_6|oligos_7	microglia_6|opcs_2	microglia_6|opcs_9	microglia_8|microglia_1	microglia_8|microglia_2	microglia_8|microglia_3	microglia_8|microglia_4	microglia_8|microglia_5	microglia_8|microglia_6	microglia_8|microglia_8	microglia_8|microglia_9	microglia_8|oligos_7	microglia_8|opcs_2	microglia_8|opcs_9	microglia_9|microglia_1	microglia_9|microglia_2	microglia_9|microglia_3	microglia_9|microglia_4	microglia_9|microglia_5	microglia_9|microglia_6	microglia_9|microglia_8	microglia_9|microglia_9	microglia_9|oligos_7	microglia_9|opcs_2	microglia_9|opcs_9	oligos_7|microglia_1	oligos_7|microglia_2	oligos_7|microglia_3	oligos_7|microglia_4	oligos_7|microglia_5	oligos_7|microglia_6	oligos_7|microglia_8	oligos_7|microglia_9	oligos_7|oligos_7	oligos_7|opcs_2	oligos_7|opcs_9	opcs_2|microglia_1	opcs_2|microglia_2	opcs_2|microglia_3	opcs_2|microglia_4	opcs_2|microglia_5	opcs_2|microglia_6	opcs_2|microglia_8	opcs_2|microglia_9	opcs_2|oligos_7	opcs_2|opcs_2	opcs_2|opcs_9	opcs_9|microglia_1	opcs_9|microglia_2	opcs_9|microglia_3	opcs_9|microglia_4	opcs_9|microglia_5	opcs_9|microglia_6	opcs_9|microglia_8	opcs_9|microglia_9	opcs_9|oligos_7	opcs_9|opcs_2	opcs_9|opcs_9
CPI-SS01A6823FA	PF4_CXCR3	simple:P02776	simple:P49682	ENSG00000163737	ENSG00000186810	True	False	True	curated	False	0.025								0.555																																																							0.563																						39.33																																				
CPI-SS01DCC7684	EFNA2_EPHA7	simple:O43921	simple:Q15375	ENSG00000099617	ENSG00000135333	False	False	True	curated	False	0.025																																																																																											0.178											0.146											0.16								
CPI-SS0C10824C7	EGFR_HBEGF	simple:P00533	simple:Q99075	ENSG00000146648	ENSG00000113070	True	True	True	curated	False	0.025																																																																																						0.247	0.214	0.243																																	
CPI-SS08B7D54A3	TNF_FAS	simple:P01375	simple:P25445	ENSG00000232810	ENSG00000026103	True	False	True	InnateDB-All	False	0.033								0.206											0.149											0.144																																	0.165																																																										
CPI-SS06A0B20BD	FGFR2_EPHA4	simple:P21802	simple:P54764	ENSG00000066468	ENSG00000116106	True	True	True	I2D,InnateDB-All	False	0.033																																																																																											0.376						0.364	0.253	0.286																						
CPI-SS0DA366C78	EPHB2_EFNB3	simple:P29323	simple:Q15768	ENSG00000133216	ENSG00000108947	False	True	True	curated	False	0.033																									0.14						0.244	0.157	0.147																																																																																								
CPI-SC063BC3DDE	ICAM2_aLb2 complex	simple:P13598	complex:aLb2 complex	ENSG00000108622		False	False	False	curated	True	0.033							0.155	0.262																																																						0.137	0.243																																																										
CPI-SS02B567BC7	PLXNC1_SEMA7A	simple:O60486	simple:O75326	ENSG00000136040	ENSG00000138623	False	True	False	curated	False	0.033			0.185																																	0.371																																												0.677																																	0.192								
CPI-SS0B8083B44	WNT7B_FZD4	simple:P56706	simple:Q9ULV1	ENSG00000188064	ENSG00000174804	True	False	True	curated	False	0.033																																																																																																				0.153	0.13										0.213	0.19									
CPI-SC07BE7830D	SPP1_a4b1 complex	simple:P10451	complex:a4b1 complex	ENSG00000118785		True	False	False	curated	True	0.033																																		41.57			41.618			41.589	42.515																																																																																
CPI-SC0592EC3D0	L1CAM_a5b1 complex	simple:P32004	complex:a5b1 complex	ENSG00000198910		False	False	False	curated	True	0.05																							0.641	0.634	0.632	0.63		0.634		0.637																																																																																											
CPI-SS0632A027A	CD44_HBEGF	simple:P16070	simple:Q99075	ENSG00000026508	ENSG00000113070	True	True	True	I2D,InnateDB-All	False	0.05									0.158	0.125	0.154																																																																											0.206	0.174	0.202																																	
CPI-SS0055264F3	EGFR_TGFB1	simple:P00533	simple:P01137	ENSG00000146648	ENSG00000105329	True	True	False	IMEx,InnateDB-All,MINT	False	0.05																																																																														2.834	2.879		3.314	2.608		2.497	3.626																																				
CPI-SS0E0DEA7D5	PECAM1_CD38	simple:P16284	simple:P28907	ENSG00000261371	ENSG00000004468	False	True	True	curated	False	0.05								2.323											2.377											2.339											2.351											2.337																						2.329																																															
CPI-SS032E9A219	CX3CR1_CX3CL1	simple:P49238	simple:P78423	ENSG00000168329	ENSG00000006210	True	True	True	curated	False	0.05										25.948	25.952																																21.989	21.993																					21.655	21.659																																																							
CPI-SS0E063192D	NRG2_ERBB4	simple:O14511	simple:Q15303	ENSG00000158458	ENSG00000178568	True	False	True	curated	False	0.05																															0.257	0.199	0.27																																																					0.226	0.168	0.239																																	
CPI-SS085195142	TYRO3_GAS6	simple:Q06418	simple:Q14393	ENSG00000092445	ENSG00000183087	True	True	False	guidetopharmacology.org	False	0.058																																																																																											4.856	7.018	5.802			10.643																		6.953	5.736			10.578			
CPI-SC0988E0218	SPP1_aVb3 complex	simple:P10451	complex:aVb3 complex	ENSG00000118785		True	False	False	curated	True	0.058																																		41.597	41.6	41.594	41.658	41.599	41.569	41.575																																																																																	
CPI-SS0DEDA3567	TNFSF10_RIPK1	simple:P50591	simple:Q13546	ENSG00000121858	ENSG00000137275	True	False	True	InnateDB-All	False	0.058																																																																			0.423	0.56	0.487	0.612	0.502		0.511	1.058																																															
CPI-SS0B186A32C	CCR5_CCL7	simple:P51681	simple:P80098	ENSG00000160791	ENSG00000108688	True	True	False	curated	False	0.058								4.13											3.891											4.318											3.851											4.625											4.525											4.09																																															
CPI-SS0FBC9234C	TNF_PTPRS	simple:P01375	simple:Q13332	ENSG00000232810	ENSG00000105426	True	False	True	InnateDB-All	False	0.058		0.623	1.523				0.636	0.624						1.466											1.461																																	1.482																																																															
CPI-SC00756BB93	THY1_aVb3 complex	simple:P04216	complex:aVb3 complex	ENSG00000154096		False	False	False	curated	True	0.058																							0.179	0.182	0.177	0.241	0.182	0.151	0.158																																																																																												
CPI-SS088A0A760	EGFR_COPA	simple:P00533	simple:P53621	ENSG00000146648	ENSG00000122218	True	True	False	InnateDB-All	False	0.066																																																																														1.324	1.148	1.226	1.446	1.241	1.278	1.255	1.559																																				
CPI-CS075442484	BMR1A_ACR2A_BMP2	complex:BMR1A_ACR2A	simple:P12643		ENSG00000125845	True	True	False	curated	False	0.066								0.604											0.596											0.626											0.588											0.597											0.592											0.582											0.589																																				
CPI-SS0CCCF7C69	PLXNB1_SEMA4D	simple:O43157	simple:Q92854	ENSG00000164050	ENSG00000187764	True	True	True	curated	False	0.066																							0.656	0.607	0.64	0.785	0.663	0.632	0.921		0.626																																																																																										
CPI-SS0111AAD26	EPHB2_EFNB1	simple:P29323	simple:P98172	ENSG00000133216	ENSG00000090776	False	True	False	curated	False	0.066																							0.186	0.174	0.188	0.134	0.172	0.178	0.154				0.128																																																																																								
CPI-CS012D15A88	BMR1A_ACR2A_BMP4	complex:BMR1A_ACR2A	simple:P12644		ENSG00000125378	True	True	False	curated	False	0.066									2.565											2.556											2.587											2.548											2.558											2.553											2.543											2.55																																			
CPI-SS08B91FD2A	CCR1_CCL7	simple:P32246	simple:P80098	ENSG00000163823	ENSG00000108688	True	True	False	curated	False	0.066								2.111											2.09											2.09											1.696											2.185											2.168											2.154											4.811																																				
CPI-SC01AB9BED7	SPP1_a9b1 complex	simple:P10451	complex:a9b1 complex	ENSG00000118785		True	False	False	curated	True	0.066																																		41.81	41.789	41.807	41.769	41.867	41.84	41.802	42.074																																																																																
CPI-SS0A5B945E3	EPHB3_EFNB3	simple:P54753	simple:Q15768	ENSG00000182580	ENSG00000108947	False	True	True	curated	False	0.066																																																																																																						0.153						0.257	0.17	0.161			0.152						0.256	0.17	0.16
CPI-SS0D41C7AF5	EPHB1_EFNB3	simple:P54762	simple:Q15768	ENSG00000154928	ENSG00000108947	False	True	True	curated	False	0.066																									0.129						0.233	0.146	0.137																																																										0.65						0.754	0.668	0.658																						
CPI-SS016B7C7D6	BMP2_SMO	simple:P12643	simple:Q99835	ENSG00000125845	ENSG00000128602	True	False	True	I2D	False	0.066																																																																														0.982	1.266	1.096	1.21	1.17	1.077	1.105	1.137																																				
CPI-CS02899BF8B	ACVR_1B2A receptor_INHBB	complex:ACVR_1B2A receptor	simple:P09529		ENSG00000163083	True	True	False	curated	False	0.066										0.109	0.123																					0.124	0.138										0.122	0.137																																											0.124	0.138																																	
CPI-SC0A05D3880	THY1_aMb2 complex	simple:P04216	complex:aMb2 complex	ENSG00000154096		False	False	False	curated	True	0.066																							0.781	0.67	0.669	0.829	0.715	0.668	0.691	0.675																																																																																											
CPI-SS00D9A0644	FGFR2_CD83	simple:P21802	simple:Q01151	ENSG00000066468	ENSG00000112149	True	True	True	InnateDB-All	False	0.066																																																																																									0.525	0.482	0.526	1.341	0.61	0.55	0.585	0.713																									
CPI-SS0DBFB8BEA	CCL2_ACKR1	simple:P13500	simple:Q16570	ENSG00000108691	ENSG00000213088	True	False	True	curated	False	0.066			0.433						0.433																																						0.28						0.279																0.629						0.628					2.202						2.201																																			
CPI-SS086615F9B	CSF1_CELSR3	simple:P09603	simple:Q9NYQ7	ENSG00000184371	ENSG00000008300	True	False	True	I2D	False	0.066			0.427											0.505											0.485											1.703					1.496						0.544											0.456											0.594																																																				
CPI-CS085EF890A	ACVR_1B2B receptor_INHBB	complex:ACVR_1B2B receptor	simple:P09529		ENSG00000163083	True	True	False	curated	False	0.066										0.109	0.123																					0.124	0.138										0.122	0.137																																											0.124	0.138																																	
CPI-SS0C694CB44	VEGFA_GRIN2B	simple:P15692	simple:Q13224	ENSG00000112715	ENSG00000273079	True	False	True	I2D	False	0.066																									0.895	0.187			0.207	0.272																																																													0.885	0.178			0.198	0.263																									
CPI-SC0E9C058EB	PLAUR_a4b1 complex	simple:Q03405	complex:a4b1 complex	ENSG00000011422		True	True	False	curated	True	0.066																																		0.372			0.419			0.39	1.316																																																0.201			0.249			0.22	1.146																									
CPI-SS070C51D94	FZD7_WNT3	simple:O75084	simple:P56703	ENSG00000155760	ENSG00000108379	True	True	False	curated	False	0.066									0.163											0.153											0.142											0.156											0.154											0.149											0.141											0.165																																			
CPI-SC03DD946B2	TGFB2_TGFbeta receptor1	simple:P61812	complex:TGFbeta receptor1	ENSG00000092969		True	False	True	curated	False	0.074																																																																																																						1.08	1.727	1.229		1.389	1.963							1.712	1.214		1.373	1.947			
CPI-SS03098AC28	ERBB4_HBEGF	simple:Q15303	simple:Q99075	ENSG00000178568	ENSG00000113070	True	True	True	curated	False	0.074																																																																																																	0.228	0.195	0.224									0.17	0.138	0.166									0.242	0.209	0.237
CPI-SS0ACD487F0	L1CAM_L1CAM	simple:P32004	simple:P32004	ENSG00000198910	ENSG00000198910	False	False	False	curated	False	0.074																									1.149	0.641		0.646	0.672	0.674						0.641																						0.646											0.672											0.674																																									
CPI-SS0F9D53834	JAM3_JAM3	simple:Q9BX67	simple:Q9BX67	ENSG00000166086	ENSG00000166086	True	False	False	curated	False	0.074																																																																																																	1.623	1.096	1.042									1.096	0.57	0.516									1.042	0.516	0.462
CPI-SS06AA638A8	CD72_SEMA4D	simple:P21854	simple:Q92854	ENSG00000137101	ENSG00000187764	False	False	True	curated	False	0.074																																																																			0.774	0.725	0.758	0.903	0.782	0.75	1.04	0.695	0.744																																														
CPI-CS0BE59B43E	BMR1A_AVR2B_BMP2	complex:BMR1A_AVR2B	simple:P12643		ENSG00000125845	True	True	False	curated	False	0.083								0.603											0.625											0.645											0.619											0.615											0.605											0.581											0.689											0.618																						0.59			
CPI-SS0DE0A486F	NRP1_VEGFA	simple:O14786	simple:P15692	ENSG00000099250	ENSG00000112715	True	True	False	curated	False	0.083			1.927						1.917																											3.459						3.449																1.911						1.902					1.961						1.952					6.043						6.033																																			
CPI-SS0472C478C	BMP7_PTPRK	simple:P18075	simple:Q15262	ENSG00000101144	ENSG00000152894	True	False	True	InnateDB-All	False	0.083																																																																																																						0.484				0.27	0.59		0.275	0.314			0.587				0.373	0.693		0.378	0.417
CPI-CS0BCDC40FC	BMR1A_AVR2B_BMP4	complex:BMR1A_AVR2B	simple:P12644		ENSG00000125378	True	True	False	curated	False	0.083									2.564											2.586											2.605											2.58											2.575											2.566											2.542											2.65											2.579																						2.551		
CPI-SS09C4988F8	PROS1_TYRO3	simple:P07225	simple:Q06418	ENSG00000184500	ENSG00000092445	True	False	True	guidetopharmacology.org	False	0.083									1.811		1.746									1.617		1.552									1.476											2.257		2.192									1.539											1.658		1.593																																																							
CPI-SC08923F7F7	F11R_aLb2 complex	simple:Q9Y624	complex:aLb2 complex	ENSG00000158769		False	True	False	curated	True	0.091							1.949	2.056											1.682											1.674											1.663										1.608	1.715										1.903	2.009										1.784	1.891																																															
CPI-SC06525B099	L1CAM_aVb3 complex	simple:P32004	complex:aVb3 complex	ENSG00000198910		False	False	False	curated	True	0.091																							0.675	0.678	0.672	0.737	0.678	0.647	0.654								0.229																						0.234											0.26											0.262																																								
CPI-CS0E54FF657	BMPR1A_BMPR2_BMP4	complex:BMPR1A_BMPR2	simple:P12644		ENSG00000125378	True	True	False	curated	False	0.091									2.691											2.706											2.667											2.677											2.649											2.681											2.633											2.742											2.544											2.554											2.602		
CPI-SS098F416C1	FGFR2_XPR1	simple:P21802	simple:Q9UBH6	ENSG00000066468	ENSG00000143324	True	True	True	InnateDB-All	False	0.091																																																																																									0.516	0.494	0.572	0.701	0.528	0.485	0.521	0.517	0.333	0.388	0.427																						
CPI-SS0E25CE362	EGFR_TGFA	simple:P00533	simple:P01135	ENSG00000146648	ENSG00000163235	True	True	False	curated	False	0.091																																																																														0.251	0.369	0.35	0.526	0.415	0.309	0.483	0.348	0.379	0.404	0.435																																	
CPI-CS0E4E75E3B	BMPR1A_BMPR2_BMP2	complex:BMPR1A_BMPR2	simple:P12643		ENSG00000125845	True	True	False	curated	False	0.091								0.73											0.745											0.706											0.716											0.688											0.72											0.672											0.781											0.583											0.593											0.641			
CPI-SS0703338F5	LGALS9_CD44	simple:O00182	simple:P16070	ENSG00000168961	ENSG00000026508	True	False	True	InnateDB	False	0.091								0.878																										0.884							0.932				0.925							0.973				0.878							0.926				2.38							2.429				1.181							1.23																																				
CPI-SS0E63AB61E	EFNA2_EPHA4	simple:O43921	simple:P54764	ENSG00000099617	ENSG00000116106	False	False	True	curated	False	0.099																																																																																											0.332						0.32	0.209	0.242			0.3						0.289	0.178	0.211			0.314						0.302	0.191	0.224
CPI-SC0F4AC5AA2	ICAM1_aLb2 complex	simple:P05362	complex:aLb2 complex	ENSG00000090339		False	True	False	curated	True	0.099								0.57										0.558	0.665										0.462	0.568										0.535	0.641										0.53	0.636											0.55										0.476	0.582																																															
CPI-SS08718E4FB	EPHB6_EFNB3	simple:O15197	simple:Q15768	ENSG00000106123	ENSG00000108947	True	True	True	curated	False	0.099																									0.263						0.367	0.28	0.271																																															0.189						0.293	0.206	0.196														0.113						0.217	0.13	0.121											
CPI-SC0A9EB628A	VCAM1_a4b1 complex	simple:P19320	complex:a4b1 complex	ENSG00000162692		False	False	False	curated	True	0.099																																																																														0.193			0.24			0.211	1.137															0.482			0.529			0.5	1.426				0.6			0.647			0.618	1.544			
CPI-SS079728E8B	ADORA2B_ENTPD1	simple:P29275	simple:P49961	ENSG00000170425	ENSG00000138185	False	True	False	curated	False	0.099																																																																																																				1.484	1.485	1.495	2.078	1.6	1.501						1.503	1.503	1.513	2.096	1.619	1.519					
CPI-SS0E00478B4	NRP2_VEGFA	simple:O60462	simple:P15692	ENSG00000118257	ENSG00000112715	True	True	False	curated	False	0.099														0.461						0.452					0.379						0.369					0.627						0.617					0.48						0.47																0.419						0.409					0.865						0.855																																			
CPI-SS0E9A581F8	ICAM1_ITGAL	simple:P05362	simple:P20701	ENSG00000090339	ENSG00000005844	False	True	True	curated	False	0.099								0.57										0.558	0.665										0.462	0.568										0.535	0.641										0.53	0.636											0.55										0.476	0.582																																															
CPI-SS0B3829651	CADM3_EPB41L1	simple:Q8N126	simple:Q9H4G0	ENSG00000162706	ENSG00000088367	False	False	False	curated	False	0.099																									0.353					0.284	0.288																																																												0.451					0.382	0.386					0.3					0.231	0.235					0.274					0.205	0.209		
CPI-SS03FA58286	TNF_VSIR	simple:P01375	simple:Q9H7M9	ENSG00000232810	ENSG00000107738	True	False	True	IMEx,IntAct	False	0.107	2.947		2.539	3.175	2.749							2.89			3.118	2.692							2.885			3.113	2.687																													2.906			3.134	2.708																																																													
CPI-SS0CBC7840D	PTPRC_CD22	simple:P08575	simple:P20273	ENSG00000081237	ENSG00000012124	False	False	True	curated	False	0.107				2.704			2.622								2.224			2.142								2.016											2.085											2.102			2.02								2.058											2.255			2.173								2.627			2.545																																					
CPI-SS034B442CE	TNF_CELSR2	simple:P01375	simple:Q9HCU4	ENSG00000232810	ENSG00000143126	True	False	True	InnateDB-All	False	0.116			0.351				0.195	0.213		0.204				0.294					0.156		0.147				0.289				0.133	0.151		0.142																										0.31					0.172		0.163																																																								
CPI-CS0123BC66C	PlexinA1_complex2_SEMA6D	complex:PlexinA1_complex2	simple:Q8NFY4		ENSG00000137872	False	True	False	curated	False	0.116																							0.243		0.306				0.219	0.658	0.407	0.509	0.572																																													0.234		0.296				0.21	0.648	0.397	0.499	0.562																																	
CPI-SC095A2C115	PLAUR_aVb3 complex	simple:Q03405	complex:aVb3 complex	ENSG00000011422		True	True	False	curated	True	0.116																																		0.398	0.402	0.396	0.46	0.401	0.371	0.377																																																	0.228	0.231	0.225	0.29	0.231	0.2	0.206																										
CPI-SS0D1D95883	CCL4_CCR5	simple:P13236	simple:P51681	ENSG00000275302	ENSG00000160791	True	False	True	curated	False	0.116			3.134		3.441	3.341																					3.377	3.277						3.145		3.333		3.641	3.54						3.227		3.416		3.723	3.622										3.37																																																													
CPI-SS03E7587E4	ADORA1_ENTPD1	simple:P30542	simple:P49961	ENSG00000163485	ENSG00000138185	False	True	False	curated	False	0.116																																																																																																				1.529	1.53	1.54	2.123	1.645	1.546		1.538				1.573	1.574	1.584	2.167	1.689	1.59		1.582			
CPI-SC032246C72	TGFB2_TGFbeta receptor2	simple:P61812	complex:TGFbeta receptor2	ENSG00000092969		True	False	True	curated	False	0.124																																																																																																				0.307	0.292	0.273	0.257	0.275	0.27	0.32	0.237				0.292	0.277	0.257	0.241	0.259	0.254	0.305				
CPI-SS0D81D9F5E	EFNA2_EPHA5	simple:O43921	simple:P54756	ENSG00000099617	ENSG00000145242	False	False	True	curated	False	0.124																																																																																											0.614				0.193	0.196		0.459	0.46			0.582				0.162	0.164		0.428	0.429			0.596				0.175	0.178		0.441	0.442
CPI-CS08CC8F9D3	ACVR1_BMPR2_BMP7	complex:ACVR1_BMPR2	simple:P18075		ENSG00000101144	True	True	False	curated	False	0.132										0.42	0.523										0.405	0.508										0.385	0.488										0.369	0.472										0.387	0.49										0.382	0.485										0.433	0.536										0.349	0.452																																	
CPI-CS046B3C139	ACVR_1A2A receptor_BMP7	complex:ACVR_1A2A receptor	simple:P18075		ENSG00000101144	True	True	False	curated	False	0.132										0.283	0.386										0.275	0.377										0.305	0.408										0.267	0.369										0.276	0.379										0.271	0.374										0.261	0.364										0.268	0.371																																	
CPI-SS003C9A532	NOTCH2_DLL3	simple:Q04721	simple:Q9NYJ7	ENSG00000134250	ENSG00000090932	False	True	False	curated	False	0.132										0.386	0.32										0.337	0.27										0.334	0.267										0.446	0.379										0.349	0.283										0.367	0.3										0.352	0.285										0.646	0.58																																	
CPI-SS02D18D12B	CADM3_CADM4	simple:Q8N126	simple:Q8NFZ8	ENSG00000162706	ENSG00000105767	False	False	False	curated	False	0.132																									0.302						1.239	0.77	0.649																																																										0.4						1.338	0.869	0.748			0.249						1.186	0.717	0.596			0.223						1.161	0.692	0.571
CPI-CS0D35E69F6	BMR1A_ACR2A_BMP7	complex:BMR1A_ACR2A	simple:P18075		ENSG00000101144	True	True	False	curated	False	0.132										0.283	0.386										0.275	0.377										0.305	0.408										0.267	0.369										0.276	0.379										0.271	0.374										0.261	0.364										0.268	0.371																																	
CPI-SS0FEEB187C	PDGFB_PDGFRA	simple:P01127	simple:P16234	ENSG00000100311	ENSG00000134853	True	False	True	curated	False	0.132										2.607	3.114										2.361	2.868										2.428	2.935										2.415	2.922										2.405	2.912										2.438	2.945										2.378	2.885										2.289	2.796																																	
